Dataset,FeatureSubset,IncludedGroups,ExcludedGroups,Source objective,ValidationAccuracy@20_40,NDCG@20,Recall@20,Hit@20,Pers@20,AvgPop@20,NDCG@40,Recall@40,Hit@40,Pers@40,AvgPop@40,ValidationCRRU@20,ValidationCRRU@40,ValidationCRRU@20_40,PosthocCRRU@20,PosthocCRRU@40,Time/epoch (s),Peak VRAM (MB),Batch,CompletedTrials,Status
kuairand1k,drop_item_resolution,"item_author_music,item_video_metadata,item_upload_time,item_category",item_resolution,0.06023211533876896,0.007945882971398532,0.005143380723893642,0.011415526270866394,0.013698630034923553,0.9804840087890625,0.31300967931747437,0.0061475844122469425,0.015981733798980713,0.021917808800935745,0.9643799066543579,0.31228557229042053,0.05671932153136318,0.06594193498921509,0.061330628260289136,0.05671932153136318,0.06594193498921509,0.11711057239130163,5618.0,1048576.0,1,completed
kuairand1k,drop_item_upload_time,"item_author_music,item_video_metadata,item_resolution,item_category",item_upload_time,0.05312267547369917,0.006610594084486366,0.0035415261518210173,0.011415526270866394,0.013698630034923553,0.9817718267440796,0.306151807308197,0.004107242915779352,0.013698630034923553,0.019178081303834915,0.9667176604270935,0.3045889139175415,0.0513265343017612,0.05683098475149812,0.05407875952662966,0.0513265343017612,0.05683098475149812,0.11783076947825105,4319.0,1048576.0,2,completed
kuairand1k,drop_item_upload_time,"item_author_music,item_video_metadata,item_resolution,item_category",item_upload_time,0.05304615026905844,0.00659778758417815,0.0035216400865465403,0.011415526270866394,0.013698630034923553,0.982532799243927,0.30462759733200073,0.004088153131306171,0.013698630034923553,0.019178081303834915,0.9678628444671631,0.30338719487190247,0.05124244942873415,0.05675445117115872,0.05399845029994643,0.05124244942873415,0.05675445117115872,0.11875732454348548,4453.0,1048576.0,2,completed
kuairand1k,drop_item_video_metadata,"item_author_music,item_upload_time,item_resolution,item_category",item_video_metadata,0.058995629198624916,0.007426132308319211,0.004815246444195509,0.010045661590993404,0.013698630034923553,0.9779813885688782,0.3175032138824463,0.006059468723833561,0.015981733798980713,0.021917808800935745,0.9594780802726746,0.3175128400325775,0.05441811941679243,0.06574364610463491,0.060080882760713675,0.05441811941679243,0.06574364610463491,0.11660156000000468,4395.0,1048576.0,1,completed
kuairand1k,none,,"item_author_music,item_video_metadata,item_upload_time,item_resolution,item_category",0.03649456097177214,0.0027898502536118034,0.0007642272394150496,0.002739726100116968,0.002739726100116968,0.9923280477523804,0.2521441876888275,0.0029617752879858017,0.01278538815677166,0.019178081303834915,0.9853078722953796,0.25167620182037354,0.022536821516745915,0.05162183634395714,0.03707932893035153,0.022536821516745915,0.05162183634395714,0.12137443382609649,3851.0,1048576.0,1,completed
kuairand1k,pair_item_author_music__item_category,"item_author_music,item_category","item_video_metadata,item_upload_time,item_resolution",0.05722011730383572,0.006896246410906314,0.004451795946806669,0.008675798773765564,0.010958904400467873,0.9803658723831177,0.31476643681526184,0.006021502427756786,0.015981733798980713,0.021917808800935745,0.9635421633720398,0.31406131386756897,0.050854426685718226,0.06567945379676139,0.05826694024123981,0.050854426685718226,0.06567945379676139,0.11610791343477815,4421.0,1048576.0,1,completed
kuairand1k,pair_item_author_music__item_resolution,"item_author_music,item_resolution","item_video_metadata,item_upload_time,item_category",0.046293590046795105,0.004671516525559127,0.0024164149072021246,0.007762557361274958,0.013698630034923553,0.9899472594261169,0.1884768307209015,0.003062634263187647,0.010632745921611786,0.019178081303834915,0.9818222522735596,0.18866506218910217,0.043333472947087205,0.050471984326591675,0.04690272863683944,0.043333472947087205,0.050471984326591675,0.11562922963042618,4421.0,1048576.0,1,completed
kuairand1k,pair_item_author_music__item_upload_time,"item_author_music,item_upload_time","item_video_metadata,item_resolution,item_category",0.05389337868790002,0.0058704158291220665,0.003991333302110434,0.00639269407838583,0.010958904400467873,0.9810289740562439,0.31832781434059143,0.005740337073802948,0.0141552509739995,0.021917808800935745,0.9610635638237,0.32441192865371704,0.046526006990789015,0.06325824247162802,0.05489212473120852,0.046526006990789015,0.06325824247162802,0.11538061725804577,4421.0,1048576.0,1,completed
kuairand1k,pair_item_author_music__item_video_metadata,"item_author_music,item_video_metadata","item_upload_time,item_resolution,item_category",0.04720139265365246,0.0046258536051027475,0.0016477947356179357,0.005936072673648596,0.008219177834689617,0.9796085953712463,0.32595327496528625,0.0041896020993590355,0.016894977539777756,0.027397260069847107,0.958540678024292,0.33062833547592163,0.035089584867762605,0.061083420968987896,0.048086502918375254,0.035089584867762605,0.061083420968987896,0.11650178341177012,4421.0,1048576.0,1,completed
kuairand1k,pair_item_resolution__item_category,"item_resolution,item_category","item_author_music,item_video_metadata,item_upload_time",0.04941641483576781,0.005055639962665737,0.0024807534646242857,0.00639269407838583,0.010958904400467873,0.9749578237533569,0.32405179738998413,0.004430522210896015,0.01552511379122734,0.021917808800935745,0.9538549184799194,0.3241261839866638,0.04076775174461111,0.059903683383656724,0.050335717564133915,0.04076775174461111,0.059903683383656724,0.11649069844002952,4474.0,1048576.0,1,completed
